fired_at,pair,direction,entry,sl,tp1,tp2,rr_tp1,rr_tp2,sl_pips,zone_src,session,sweep_time
2026-05-21 15:00 UTC,EURJPY,long,184.76929,184.71028,184.85781,184.9305,1.5,2.73,5.9,SSL_10touch,NewYork,2026-05-21 15:00 UTC
2026-05-21 15:30 UTC,GBPAUD,long,1.88565,1.88395,1.8882,1.891,1.5,3.15,17.0,SSL_3touch,NewYork,2026-05-21 15:00 UTC
2026-05-21 16:00 UTC,XAUUSD,long,4527.99154,4519.23173,4541.13125,4551.24704,1.5,2.65,87.6,SSL_23touch,NewYork,2026-05-21 15:30 UTC
2026-05-21 16:15 UTC,EURUSD,long,1.1624,1.16169,1.16347,1.16461,1.5,3.11,7.1,SSL_7touch,NewYork,2026-05-21 15:00 UTC
2026-05-21 17:15 UTC,CADJPY,short,115.56051,115.59454,115.50946,115.46935,1.5,2.68,3.4,BSL_6touch,London,2026-05-21 16:15 UTC
2026-05-21 17:30 UTC,GBPUSD,short,1.34286,1.34412,1.34097,1.33951,1.5,2.66,12.6,BSL_2touch,London,2026-05-21 16:15 UTC
2026-05-21 17:30 UTC,GBPJPY,short,213.57097,213.74957,213.30307,213.11609,1.5,2.55,17.9,BSL_3touch,London,2026-05-21 17:00 UTC
2026-05-21 17:30 UTC,GBPAUD,short,1.8876,1.8894,1.8849,1.88102,1.5,3.66,18.0,BSL_3touch,London,2026-05-21 16:30 UTC
2026-05-21 18:00 UTC,GBPUSD,long,1.34261,1.34149,1.34429,1.34492,1.5,2.06,11.2,SSL_2touch,London,2026-05-21 17:15 UTC
2026-05-21 18:00 UTC,AUDJPY,long,113.1714,113.05365,113.34803,113.53118,1.5,3.06,11.8,SSL_6touch,London,2026-05-21 16:30 UTC
2026-05-21 18:15 UTC,EURUSD,short,1.1623,1.16283,1.16151,1.16113,1.5,2.21,5.3,BSL_15touch,London,2026-05-21 18:15 UTC
2026-05-21 18:30 UTC,EURJPY,short,184.683,184.86464,184.41054,184.28129,1.5,2.21,18.2,BSL_7touch,London,2026-05-21 18:30 UTC
2026-05-21 19:00 UTC,EURJPY,short,184.8442,184.95681,184.67529,184.57829,1.5,2.36,11.3,BSL_7touch,London,2026-05-21 19:00 UTC
2026-05-21 19:15 UTC,CADJPY,short,115.48315,115.52009,115.42774,115.40837,1.5,2.02,3.7,BSL_7touch,London,2026-05-21 19:00 UTC
2026-05-21 19:30 UTC,EURJPY,long,184.81119,184.76344,184.88282,184.9611,1.5,3.14,4.8,SSL_10touch,London,2026-05-21 19:00 UTC
2026-05-21 19:45 UTC,XAUUSD,short,4535.0984,4540.53296,4526.94656,4512.32918,1.5,4.19,54.3,BSL_3touch,London,2026-05-21 19:00 UTC
2026-05-21 19:45 UTC,GBPAUD,long,1.88565,1.88395,1.8882,1.891,1.5,3.15,17.0,SSL_3touch,London,2026-05-21 18:30 UTC
2026-05-21 20:00 UTC,USDJPY,long,158.96747,158.90473,159.06158,159.12201,1.5,2.46,6.3,SSL_3touch,London,2026-05-21 19:15 UTC
2026-05-21 20:30 UTC,EURUSD,short,1.16207,1.16303,1.16063,1.16011,1.5,2.04,9.6,BSL_2touch,London,2026-05-21 19:00 UTC
2026-05-21 20:30 UTC,GBPUSD,short,1.34363,1.34455,1.34225,1.33951,1.5,4.48,9.2,BSL_4touch,London,2026-05-21 19:00 UTC
